Indice,CODIGO,NOMBRE,CANTIDAD,COSTO-UNIT,VALOR-IVA,PRECIO-UNIT,TOTALES
232,"7,7912E+12",Bols Sandia,3.0,4132.23,867.77,5000.0,15000.0
556,"7,79095E+12",DR LEMON MOJITO 1LT,3.0,2066.12,433.88,2500.0,7500.0
480,"7,79004E+12",COQUITAS LEMON 270G,3.0,578.51,121.49,700.0,2100.0
1368,"7,7909E+12",SPRITE 354 ML,3.0,1239.67,260.33,1500.0,4500.0
740,"7,79834E+12","INTEGRA barra de cereal cacao,chocolate",3.0,330.58,69.42,400.0,1200.0
749,"7,6104E+12",JOCK DANIELS CHOCOLATE 100 G,3.0,12396.69,2603.31,15000.0,45000.0
1306,"7,79173E+12",SANTA JULIA MALBEC 2021,3.0,2892.56,607.44,3500.0,10500.0
1304,"7,79173E+12",SANTA JULIA DULCE X 750ML,3.0,5785.12,1214.88,7000.0,21000.0
760,"7,79058E+12",JUGO ARCOR MULTIFRUTA,3.0,247.93,52.07,300.0,900.0
574,"7,79007E+12",EMILIA DULCE NATURAL 750ML,3.0,4958.68,1041.32,6000.0,18000.0
766,"7,79058E+12",jugo BC limonada 7g,3.0,247.93,52.07,300.0,900.0
778,77917188,La Gotita,3.0,1652.89,347.11,2000.0,6000.0
784,"7,7912E+12",LA LINDA TORRONTES,3.0,4958.68,1041.32,6000.0,18000.0
786,"7,7981E+12",LAS HOJAS sabor chocolate 30g,3.0,3719.01,780.99,4500.0,13500.0
797,"7,79031E+12",LAYS CHEDDAR X 41 G,3.0,371.9,78.1,450.0,1350.0
810,"7,79031E+12",LAYS X249G,3.0,5785.12,1214.88,7000.0,21000.0
820,"7,79806E+12","Levite Pera 1,5lt",3.0,661.16,138.84,800.0,2400.0
826,"7,79806E+12",LEVITE POMELO X 1 L,3.0,1074.38,225.62,1300.0,3900.0
834,"7,79835E+12",LION POP 17 GS,3.0,1487.6,312.4,1800.0,5400.0
836,"7,79819E+12",LONDON GIN MYRICA 750ml,3.0,12396.69,2603.31,15000.0,45000.0
864,"7,79173E+12",MALAMADO MALBEC,3.0,5785.12,1214.88,7000.0,21000.0
872,"7,79004E+12",MANA PETIT VAINILLA,3.0,826.45,173.55,1000.0,3000.0
875,"7,79004E+12",mana rellena vainilla 152g,3.0,991.74,208.26,1200.0,3600.0
886,"7,79815E+12",MANI KING CREMA Y CEBOLLA,3.0,165.29,34.71,200.0,600.0
893,"7,79031E+12",MANI PELADO PHUAMAR 110GS,3.0,413.22,86.78,500.0,1500.0
1257,77995681,RODHESIA 22g,3.0,206.61,43.39,250.0,750.0
1254,"7,79058E+12",ROCKLETS X 150G,3.0,2892.56,607.44,3500.0,10500.0
959,"7,79181E+12",MIRINDA NARANJA X 1.5 L,3.0,2148.76,451.24,2600.0,7800.0
